variablename,short description,years,longer description,sources
"disposable_personal_income1000s
_annual",Total state disposable personal income,1948–2011,"Total disposable personal income in the state, measured annually.","Klarner, Carl, 2013, 'State Economic Data', https://doi.org/10.7910/DVN/KMWN7N, Harvard Dataverse, V1
Source: http://www.bea.gov/. Then click on 'state and local area personal income' under 'regional.' Then under 'data' click on 'state annual personal income and employment.' Then, under 'Annual State Personal Income and Employment' click 'Personal income, per capita personal income, disposable personal income, and population (SA1-3, SA51-53).' Then click on Table ID 'SA51-53 Disposable Personal Income Summary.' This yields both personal income ($1,000s), population (persons), and per capita personal income (dollars) (the latter was a perfect function of the two former (after rounding) so wasn’t retained)."
fy_end_day,Day in which fiscal year ends,1942–2010,Day of the month that the state fiscal year ends in.,"Klarner, Carl, 2013, 'State Economic Data', https://doi.org/10.7910/DVN/KMWN7N, Harvard Dataverse, V1"
fy_end_month,Month in which fiscal year ends,1942–2010,Number of month that the state fiscal year ends in.,"Klarner, Carl, 2013, 'State Economic Data', https://doi.org/10.7910/DVN/KMWN7N, Harvard Dataverse, V1"
fy_end_quar,Quarter in which fiscal year ends,1942–2010,Last quarter of the state fiscal year.,"Klarner, Carl, 2013, 'State Economic Data', https://doi.org/10.7910/DVN/KMWN7N, Harvard Dataverse, V1"
general_expenditure,General state expenditures,1942–2016,"General state expenditures. All state government finance data are in 1,000s of current dollars.","Klarner, Carl, 2013, 'State Economic Data', https://doi.org/10.7910/DVN/KMWN7N, Harvard Dataverse, V1
Source: Figures exactly as they appear in the Census database file State_Govt_Finances for 1942 – 2006. For 2007 – 2010: http://www.census.gov/govs/state/
Note for data put into quarters 1, 2, 3 and 4: although these data were put into quarters, they were not divided by 4. There are always four cases that have the same exact numbers. These sets of four are within the same state fiscal year. Note for data put into quarter 2.5: data for the fiscal year that matches the year of the case is put into 2.5. For example, Indiana’s FY1986 (which goes from July 1st 1985, to June 30th, 1986) is put into 1986q2.5. United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov"
general_expenditure_gsp,General expenditures as pct. of GSP,1942–2010,General expenditures as percent of gross state product,"Klarner, Carl, 2013, 'State Economic Data', https://doi.org/10.7910/DVN/KMWN7N, Harvard Dataverse, V1
STATA CODE:
gen general_expenditure_gsp= (general_expenditure/(gsp_q*1000))*100"
general_expenditure_inc,General expenditures as pct. of personal income,1941–2009,General expenditures as percent of personal income.,"Klarner, Carl, 2013, 'State Economic Data', https://doi.org/10.7910/DVN/KMWN7N, Harvard Dataverse, V1
STATA CODE: gen general_expenditure_inc= (general_expenditure/personal_income1000s_b)*100"
general_revenue,General state revenue,1942–2016,"General state revenue. All state government finance data are in 1,000s of current dollars.","Klarner, Carl, 2013, 'State Economic Data', https://doi.org/10.7910/DVN/KMWN7N, Harvard Dataverse, V1
Source: Figures exactly as they appear in the Census database file State_Govt_Finances for 1942 – 2006. For 2007 – 2010: http://www.census.gov/govs/state/
Note for data put into quarters 1, 2, 3 and 4: although these data were put into quarters, they were not divided by 4. There are always four cases that have the same exact numbers. These sets of four are within the same state fiscal year. Note for data put into quarter 2.5: data for the fiscal year that matches the year of the case is put into 2.5. For example, Indiana’s FY1986 (which goes from July 1st 1985, to June 30th, 1986) is put into 1986q2.5.
United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov"
"general_revenue
_gsp",General revenue as pct. of GSP,1942–2016,General revenue as percent of gross state product,"Klarner, Carl, 2013, 'State Economic Data', https://doi.org/10.7910/DVN/KMWN7N, Harvard Dataverse, V1
STATA CODE:
gen general_revenue_gsp= (general_revenue/(gsp_q*1000))*100
Coded years 2012-2016 using the above code"
"general_revenue
_inc",General revenue as pct. of personal income,1941–2009,General revenue as percent of personal income.,"Klarner, Carl, 2013, 'State Economic Data', https://doi.org/10.7910/DVN/KMWN7N, Harvard Dataverse, V1
STATA CODE: gen general_revenue_inc= (general_revenue/personal_income1000s_b)*100"
gov_fin_fy,Fiscal year of quarter,1942–2010,"Fiscal year that the quarter in question belongs to (when is_a_quarter=1) or simply the fiscal year in question when quar=2.5. Only observed when the six state government finances variables below are observed when is_a_quarter=1, but is always observed within the available time period when quar=2.5. Most states are available annually starting in 1950, and biennially for 1942, 1944, 1946, and 1948. See the variable state_gov_finance_exists for quarters and years of coverage for each state.","Klarner, Carl, 2013, 'State Economic Data', https://doi.org/10.7910/DVN/KMWN7N, Harvard Dataverse, V1
Notes: ii"
gsp_naics_ann,Gross state product by NAICS,1997–2010,"Gross state product, NAICS system of classification (millions of current dollars). quar=2.5 only","Klarner, Carl, 2013, 'State Economic Data', https://doi.org/10.7910/DVN/KMWN7N, Harvard Dataverse, V1
Source: http://www.bea.gov/regional/gsp/"
gsp_naics_ann_exists,Gross state product by NAICS (dummy variable),1997–2010,"Dummy: 1 = gsp_NAICS_ann exists, 0
= else.","Klarner, Carl, 2013, 'State Economic Data', https://doi.org/10.7910/DVN/KMWN7N, Harvard Dataverse, V1"
gsp_naics_ann_exists2,"Gross state product by NAICS (2nd
dummy variable)",1997–2010,Dummy: 1 = gsp_NAICS_ann exists (for the both quar=2.5 and for all quarters between the middle of the year that gsp_NAICS_ann exists for).,"Klarner, Carl, 2013, 'State Economic Data', https://doi.org/10.7910/DVN/KMWN7N, Harvard Dataverse, V1
Note: In other words, since gsp_NAICS_ann exists for 1997 to 2010, this is coded '1' for 1997q3 to 2010q2), blank = else."
gsp_naics_ann_multiplier,"Gross state product by NAICS
multiplier",1997–2010,"For Q=2.5: amount that last year’s figure needs to be multiplied by to equal this year’s figure. For Q=1, 2, 3 or 4: figure in Q=2.5, but altered as follows. Q3 from the year before Q2.5 gets a ^(1/8). Q4 from the year before Q2.5 gets a ^(1/4). Q1 from the year of Q2.5 gets a ^(1/4). Q2 from the year of Q2.5 gets a ^(1/4)","Klarner, Carl, 2013, 'State Economic Data', https://doi.org/10.7910/DVN/KMWN7N, Harvard Dataverse, V1"
gsp_naics_q,"Gross state product by NAICS in
millions of current dollars",1997–2010,"Millions of current dollars. For Q=2.5, this equals gsp_naics_ann or gsp_sic_ann as appropriate. For Qs=1, 2, 3 and 4, it equals the figure from the last quarter (or Q=2.5, for Q=3), times the multipliers gsp_naics_ann_multiplier or gsp_sics_ann_multiplier above as appropriate. Note: although these data were put into quarters, they were not divided by 4.","Klarner, Carl, 2013, 'State Economic Data', https://doi.org/10.7910/DVN/KMWN7N, Harvard Dataverse, V1"
gsp_q,Gross state product combined in millions of current dollars,1963–2010,"Millions of current dollars. Uses gsp_naics_q for 1997q2.5 to 2010. Uses gsp_sic_q for up to 1996q2.5. For 1996q3 to 1997q2, it connects the values between 1996q2.5 and 1997q2.5 with the multiplier. For the following three states only, 2010q2.5 was put into 2010q3: AL, MI, and TX.","Klarner, Carl, 2013, 'State Economic Data', https://doi.org/10.7910/DVN/KMWN7N, Harvard Dataverse, V1"
gsp_sic_ann,Gross state product by SIC,1963–1997,"Gross state product, SIC system of classification (millions of current dollars). Note: Figures for SIC and NAICS coexist for 1997","Klarner, Carl, 2013, 'State Economic Data', https://doi.org/10.7910/DVN/KMWN7N, Harvard Dataverse, V1
Source: http://www.bea.gov/regional/gsp/"
gsp_sic_ann_exists,Gross state product by SIC dummy variable,1963–1997,"Dummy: 1 = gsp_SIC_ann exists (quar=2.5 only), 0 = else.","Klarner, Carl, 2013, 'State Economic Data', https://doi.org/10.7910/DVN/KMWN7N, Harvard Dataverse, V1"
gsp_sic_ann_exists2,Gross state product by SIC (2nd  dummy variable),1963–1997,Dummy: 1 = gsp_SIC_ann exists (for the both quar=2.5 and for all quarters between the middle of the year that gsp_SIC_ann exists for).,"Klarner, Carl, 2013, 'State Economic Data', https://doi.org/10.7910/DVN/KMWN7N, Harvard Dataverse, V1
Note: In other words, since gsp_SIC_ann exists for 1997 to 2010, this is coded '1' for 1997q3 to 2010q2), blank = else."
gsp_sic_ann_multiplier,Gross state product by SIC multiplier,1963–1997,"For Q=2.5: amount that last year’s figure needs to be multiplied by to equal this year’s figure. For Q=1, 2, 3 or 4: figure in Q=2.5, but altered as follows. Q3 from the year before Q2.5 gets a ^(1/8). Q4 from the year before Q2.5 gets a ^(1/4). Q1 from the year of Q2.5 gets a ^(1/4). Q2 from the year of Q2.5 gets a ^(1/4)","Klarner, Carl, 2013, 'State Economic Data', https://doi.org/10.7910/DVN/KMWN7N, Harvard Dataverse, V1"
gsp_sic_q,Gross state product by SIC in millions of current dollars,1963–1997,"Millions of current dollars. For Q=2.5, this equals gsp_naics_ann or gsp_sic_ann as appropriate. For Qs=1, 2, 3 and 4, it equals the figure from the last quarter (or Q=2.5, for Q=3), times the multipliers gsp_naics_ann_multiplier or gsp_sics_ann_multiplier above as appropriate. Note: although these data were put into quarters, they were not divided by 4.","Klarner, Carl, 2013, 'State Economic Data', https://doi.org/10.7910/DVN/KMWN7N, Harvard Dataverse, V1"
